Place;Region;Metro_Use_Percent;E_Bikes_Count;Cabs_Count;Avg_Traffic_Delay (min);Traffic_Safety_Index;Safe_Drinking_Water_Access_Percent;Parks_Count;Movie_Theaters_Count;Proximity_to_Beach (miles);Stadiums_Count;Theme_Parks_Count;Avg_Rent (USD);Avg_Home_Price (USD);Area_Safety_Index;Network_Connectivity_Index;Building_Age_Avg_Years;Avg_AQI;Avg_Rainfall (inches);Sunshine_Hours;Heat_Wave_Days_Per_Year;Avg_Humidity(%);Seismic_Risk_Index;Crime_Rate (per 1000 residents);Patrol_Safety_Index;Nearest_Police_Station_Distance (miles);DMV_Offices_Count;LADWP_Offices_Count;Public_School_Rank;University_Count;University_Avg_Rank;Grocery_Shops_Count;Restaurants_Count;Malls_Count;Noise_Pollution_Index;Air_Pollution_Index;Industrial_Pollution_Index;Water_Pollution_Index;Hospitals_Count;Pharmacies_Count;Health_Centers_Count;Fire_Departments_Count;Avg_Income (USD);Avg_Expenses (USD);Inflation_Rate_Percent
LA;Central LA;45;500;200;25;75;95;5;12;15;2;1;2500;750000;70;85;40;85;15;2900;15;65;80;75;60;0,5;3;1;75;3;85;50;300;5;70;80;65;75;5;15;8;3;55000;40000;3,2
Malibu;Westside Cities;25;150;80;10;90;99;6;2;0;0;0;4500;2500000;95;90;20;45;14;3300;5;75;60;85;45;1,5;1;1;95;0;N/A;15;50;2;40;50;30;65;2;5;4;2;130000;70000;2,8
Santa Monica;Westside Cities;30;200;100;15;85;98;8;5;1;1;0;3000;1000000;90;90;35;60;12;3200;10;70;75;50;80;0,8;1;1;90;2;80;40;200;4;50;60;40;65;3;10;5;2;70000;45000;3,0
Beverly Hills;Westside Cities;20;300;90;12;95;97;4;10;5;1;0;4000;2000000;98;92;50;55;10;3100;8;60;78;30;85;1,0;2;2;98;1;90;25;150;3;45;55;35;60;3;8;6;2;120000;65000;2,9
West Hollywood;Westside Cities;35;180;95;14;88;96;5;8;4;1;0;3200;1500000;85;88;45;70;13;3050;9;68;70;55;78;1,2;2;1;88;3;75;30;175;3;60;65;40;70;4;9;7;2;80000;50000;3,1
Culver City;Westside Cities;18;350;120;28;82;96;8;4;6;1;0;3100;1450000;86;78;50;42;12;3200;8;60;75;46;88;0,8;1;1;85;1;60;80;160;2;50;55;35;18;3;7;3;2;95000;80000;3,8
Manhattan Beach;South Bay;30;150;110;10;88;96;7;3;2;1;0;3500;1200000;92;88;35;65;15;3250;7;72;68;40;75;1,3;1;1;92;2;85;30;150;3;55;60;45;70;2;7;6;2;100000;60000;2,7
Inglewood;South Bay;50;250;200;25;70;90;3;12;15;1;1;2300;700000;65;75;60;80;10;2800;20;60;85;70;60;0,5;2;1;70;2;60;40;300;4;65;75;55;80;4;12;8;2;55000;38000;3,2
Torrance;South Bay;40;175;130;18;80;93;4;10;5;1;0;2600;850000;85;82;45;75;12;2950;12;65;80;60;70;0,7;1;1;85;2;78;35;175;3;58;60;50;78;3;11;7;2;65000;40000;2,9
San Pedro;South Bay;35;140;120;20;75;92;4;8;3;0;1;2400;800000;78;85;55;72;11;3000;14;66;76;55;68;0,9;2;1;78;1;80;25;180;4;53;70;60;75;2;10;8;2;57000;39000;3,0
Lakewood;Gateway Cities;12;150;90;20;78;97;15;2;8;0;0;2300;700000;75;85;55;50;13;3050;5;65;75;26;75;0,6;1;1;80;1;90;40;100;3;45;50;20;15;3;6;4;2;75000;62000;3,6
Long Beach;Gateway Cities;18;600;400;25;72;96;40;8;0;1;0;2600;800000;70;88;60;55;13;3000;7;68;78;32;70;0,3;1;1;75;2;85;120;300;5;55;60;40;30;5;15;8;4;68000;60000;3,8
Artesia;Gateway Cities;12;150;100;18;76;97;8;2;15;0;0;2200;750000;78;85;50;60;12;3100;5;62;75;32;74;0,5;1;1;85;1;80;40;80;1;50;55;35;25;2;6;3;2;72000;58000;3,5
Huntington Park;Gateway Cities;10;100;75;22;72;95;5;1;18;0;0;1900;680000;70;78;55;65;13;3050;7;64;77;34;70;0,4;1;1;78;1;82;35;70;2;55;60;45;30;2;7;3;2;68000;55000;3,6
El Monte;San Gabriel Valley;12;90;60;24;68;93;7;2;25;0;0;1800;650000;67;75;50;70;13;3050;8;60;80;44;68;0,6;1;1;75;2;85;30;55;3;58;65;50;35;3;10;4;3;65000;53000;3,7
San Gabriel;San Gabriel Valley;10;80;50;22;70;95;5;1;28;0;0;2000;700000;72;77;45;68;14;3055;7;59;78;22;71;0,7;1;1;78;1;82;25;50;2;54;62;45;30;4;8;3;2;72000;55000;3,6
Pasadena;San Gabriel Valley;12;150;100;25;75;98;10;4;26;1;0;2500;950000;80;82;60;65;17;3020;6;57;75;19;78;0,5;1;1;82;2;85;40;120;3;50;60;40;25;5;15;6;3;85000;65000;3,8
Burbank;San Fernando Valley;10;180;120;20;82;99;12;6;23;0;1;2400;900000;85;87;55;60;16;3000;5;56;78;33;85;0,6;1;1;85;1;88;35;150;3;52;58;35;20;4;18;7;3;90000;68000;3,7
